name_city,lat_city,lng_city,country,population,is_capital
Vienna,48.2083,16.3725,AT,1973403.0,True
Graz,47.0708,15.4386,AT,292630.0,False
Linz,48.3058,14.2864,AT,210165.0,False
Salzburg,47.8,13.045,AT,155021.0,False
Brussels,50.8467,4.3525,BE,1235192.0,True
Antwerp,51.2178,4.4003,BE,536079.0,False
Gent,51.0536,3.7253,BE,265086.0,False
Charleroi,50.4,4.4333,BE,201816.0,False
Liège,50.6397,5.5706,BE,195278.0,False
Sofia,42.7,23.33,BG,1383435.0,True
Varna,43.2167,27.9167,BG,348594.0,False
Plovdiv,42.15,24.75,BG,346893.0,False
Burgas,42.503,27.4702,BG,210813.0,False
Prague,50.0875,14.4214,CZ,1357326.0,True
Brno,49.1925,16.6083,CZ,396101.0,False
Ostrava,49.8356,18.2925,CZ,283504.0,False
Plzeň,49.7475,13.3775,CZ,181240.0,False
Berlin,52.52,13.405,DE,3755251.0,True
Stuttgart,48.7775,9.18,DE,632865.0,False
Munich,48.1375,11.575,DE,1512491.0,False
Hamburg,53.55,10.0,DE,1892122.0,False
Cologne,50.9364,6.9528,DE,1084831.0,False
Frankfurt,50.1106,8.6822,DE,773068.0,False
Düsseldorf,51.2333,6.7833,DE,629047.0,False
Leipzig,51.34,12.375,DE,616093.0,False
Dortmund,51.5139,7.4653,DE,593317.0,False
Essen,51.4508,7.0131,DE,584580.0,False
Bremen,53.0758,8.8072,DE,569396.0,False
Dresden,51.05,13.74,DE,563311.0,False
Hannover,52.3667,9.7167,DE,545045.0,False
Nuremberg,49.4539,11.0775,DE,523026.0,False
Duisburg,51.4347,6.7625,DE,502211.0,False
Bochum,51.4819,7.2158,DE,365742.0,False
Wuppertal,51.2667,7.1833,DE,358876.0,False
Bielefeld,52.0211,8.5347,DE,338332.0,False
Bonn,50.7333,7.1,DE,336465.0,False
Münster,51.9625,7.6256,DE,320946.0,False
Mannheim,49.4878,8.4661,DE,315554.0,False
Karlsruhe,49.0092,8.404,DE,308707.0,False
Augsburg,48.3689,10.8978,DE,301033.0,False
Wiesbaden,50.0825,8.24,DE,283083.0,False
Mönchengladbach,51.2,6.4333,DE,268465.0,False
Gelsenkirchen,51.5167,7.1,DE,263000.0,False
Aachen,50.7756,6.0836,DE,252136.0,False
Braunschweig,52.2667,10.5167,DE,251804.0,False
Chemnitz,50.8333,12.9167,DE,248563.0,False
Kiel,54.3233,10.1394,DE,247717.0,False
Halle,51.4828,11.9697,DE,242083.0,False
Magdeburg,52.1317,11.6392,DE,239364.0,False
Freiburg im Breisgau,47.995,7.85,DE,236140.0,False
Krefeld,51.3333,6.5667,DE,228426.0,False
Mainz,49.9994,8.2736,DE,220552.0,False
Lübeck,53.8697,10.6864,DE,218095.0,False
Oberhausen,51.4967,6.8706,DE,210824.0,False
Rostock,54.0833,12.1333,DE,209920.0,False
Kassel,51.3158,9.4979,DE,204202.0,False
Hagen,51.3667,7.4833,DE,189783.0,False
Potsdam,52.4,13.0667,DE,185750.0,False
Saarbrücken,49.2333,7.0,DE,181959.0,False
Hamm,51.6667,7.8167,DE,180849.0,False
Ludwigshafen,49.4811,8.4353,DE,174265.0,False
Oldenburg,53.1439,8.2139,DE,172830.0,False
Mülheim,51.4275,6.8825,DE,172404.0,False
Osnabrück,52.2833,8.05,DE,167366.0,False
Leverkusen,51.0333,6.9833,DE,165748.0,False
Heidelberg,49.4167,8.7167,DE,162273.0,False
Darmstadt,49.8722,8.6528,DE,162243.0,False
Solingen,51.1667,7.0833,DE,160643.0,False
Regensburg,49.0167,12.0833,DE,157443.0,False
Herne,51.55,7.2167,DE,157368.0,False
Paderborn,51.7181,8.7542,DE,154755.0,False
Neuss,51.2,6.7,DE,154139.0,False
Copenhagen,55.6761,12.5683,DK,660842.0,True
Aarhus,56.1572,10.2107,DK,290598.0,False
Odense,55.3958,10.3886,DK,182387.0,False
Tallinn,59.4372,24.7453,EE,461346.0,True
Madrid,40.4169,-3.7033,ES,3266126.0,True
Barcelona,41.3828,2.1769,ES,1620343.0,False
Valencia,39.47,-0.3764,ES,807693.0,False
Sevilla,37.39,-5.99,ES,684025.0,False
Málaga,36.7194,-4.42,ES,586384.0,False
Bilbao,43.2569,-2.9236,ES,346096.0,False
Zaragoza,41.65,-0.8833,ES,682513.0,False
Murcia,37.9861,-1.1303,ES,469177.0,False
Santa Cruz,28.4667,-16.25,ES,209395.0,False
Alicante,38.3453,-0.4831,ES,349282.0,False
Córdoba,37.8845,-4.7796,ES,323763.0,False
Valladolid,41.6528,-4.7236,ES,297459.0,False
Vigo,42.2314,-8.7124,ES,293652.0,False
Gijón,43.5333,-5.7,ES,268313.0,False
Vitoria-Gasteiz,42.85,-2.6833,ES,255886.0,False
A Coruña,43.365,-8.41,ES,247604.0,False
Elche,38.2669,-0.6983,ES,238293.0,False
Granada,37.1781,-3.6008,ES,230595.0,False
Badalona,41.4489,2.2461,ES,225957.0,False
Tarrasa,41.57,2.013,ES,225277.0,False
Sabadell,41.5486,2.1075,ES,218300.0,False
Cartagena,37.6,-0.9833,ES,218050.0,False
Oviedo,43.36,-5.845,ES,217584.0,False
Jerez de la Frontera,36.6817,-6.1378,ES,213231.0,False
Móstoles,40.3333,-3.8667,ES,208761.0,False
Pamplona,42.8167,-1.65,ES,205762.0,False
Almería,36.8403,-2.4681,ES,200578.0,False
Alcalá de Henares,40.4667,-3.3667,ES,196888.0,False
Leganés,40.3281,-3.7644,ES,190665.0,False
Donostia,43.3214,-1.9856,ES,188743.0,False
Fuenlabrada,40.2833,-3.8,ES,188736.0,False
Getafe,40.3047,-3.7311,ES,185899.0,False
Castellón de la Plana,39.9831,-0.0331,ES,176238.0,False
Burgos,42.35,-3.7067,ES,174451.0,False
Albacete,38.9956,-1.8558,ES,173206.0,False
Santander,43.4628,-3.805,ES,172726.0,False
Alcorcón,40.35,-3.8333,ES,171772.0,False
La Laguna,28.4853,-16.3167,ES,159034.0,False
Marbella,36.5167,-4.8833,ES,156295.0,False
Logroño,42.465,-2.4456,ES,150583.0,False
Badajoz,38.8803,-6.9753,ES,150190.0,False
Helsinki,60.1708,24.9375,FI,664921.0,True
Tampere,61.4981,23.76,FI,231853.0,False
Espoo,60.2056,24.6556,FI,297132.0,False
Turku,60.45,22.2667,FI,187604.0,False
Vantaa,60.2944,25.0403,FI,214605.0,False
Oulu,65.0142,25.4719,FI,200526.0,False
Paris,48.8567,2.3522,FR,2148271.0,True
Bordeaux,44.84,-0.58,FR,994920.0,False
Marseille,43.2964,5.37,FR,873076.0,False
Lyon,45.76,4.84,FR,522250.0,False
Toulouse,43.6045,1.444,FR,504078.0,False
Nice,43.7034,7.2663,FR,348085.0,False
Nantes,47.2181,-1.5528,FR,323204.0,False
Montpellier,43.6119,3.8772,FR,302454.0,False
Strasbourg,48.5833,7.7458,FR,291313.0,False
Lille,50.6278,3.0583,FR,236710.0,False
Rennes,48.1147,-1.6794,FR,225081.0,False
Toulon,43.1258,5.9306,FR,180452.0,False
Reims,49.2628,4.0347,FR,179380.0,False
Saint-Étienne,45.4347,4.3903,FR,172718.0,False
Le Havre,49.49,0.1,FR,166058.0,False
Dijon,47.3167,5.0167,FR,159346.0,False
Grenoble,45.1715,5.7224,FR,157477.0,False
Angers,47.4736,-0.5542,FR,157175.0,False
Villeurbanne,45.7667,4.8803,FR,156928.0,False
Athens,37.9842,23.7281,GR,643452.0,True
Thessaloníki,40.6403,22.9347,GR,309617.0,False
Piraeus,37.943,23.6469,GR,168151.0,False
Irákleio,35.3403,25.1344,GR,156842.0,False
Pátra,38.25,21.7333,GR,173600.0,False
Zagreb,45.8131,15.9775,HR,767131.0,True
Split,43.51,16.44,HR,160577.0,False
Budapest,47.4925,19.0514,HU,1671004.0,True
Debrecen,47.53,21.6392,HU,201582.0,False
Szeged,46.255,20.145,HU,158829.0,False
Rome,41.8933,12.4828,IT,2748109.0,True
Milan,45.4669,9.19,IT,1354196.0,False
Naples,40.8333,14.25,IT,913462.0,False
Turin,45.0792,7.6761,IT,841600.0,False
Genoa,44.4111,8.9328,IT,558745.0,False
Bologna,44.4939,11.3428,IT,387971.0,False
Florence,43.7714,11.2542,IT,360930.0,False
Bari,41.1253,16.8667,IT,316015.0,False
Verona,45.4386,10.9928,IT,255588.0,False
Venice,45.4375,12.3358,IT,250369.0,False
Padova,45.4167,11.8667,IT,206496.0,False
Trieste,45.6503,13.7703,IT,198417.0,False
Parma,44.8015,10.328,IT,196764.0,False
Brescia,45.5417,10.2167,IT,196446.0,False
Prato,43.88,11.0983,IT,195736.0,False
Taranto,40.4711,17.2431,IT,188098.0,False
Modena,44.6469,10.9256,IT,184153.0,False
Reggio di Calabria,38.1114,15.6619,IT,170951.0,False
Reggio Emilia,44.7,10.6333,IT,169545.0,False
Perugia,43.1122,12.3889,IT,161748.0,False
Ravenna,44.4161,12.2017,IT,155751.0,False
Livorno,43.5519,10.3083,IT,152914.0,False
Vilnius,54.6872,25.28,LT,581475.0,True
Kaunas,54.8972,23.8861,LT,305120.0,False
Klaipėda,55.7125,21.135,LT,158420.0,False
Luxembourg,49.6117,6.1319,LU,132780.0,True
Riga,56.9489,24.1064,LV,660187.0,True
Tilburg,51.55,5.0833,NL,1944588.0,False
Amsterdam,52.3728,4.8936,NL,917923.0,True
Rotterdam,51.92,4.48,NL,664311.0,False
The Hague,52.08,4.31,NL,548320.0,True
Utrecht,52.0908,5.1217,NL,359370.0,False
Eindhoven,51.4333,5.4833,NL,243730.0,False
Groningen,53.2189,6.5675,NL,233273.0,False
Almere,52.3667,5.2167,NL,214715.0,False
Breda,51.5889,4.7758,NL,184126.0,False
Nijmegen,51.8475,5.8625,NL,177359.0,False
Arnhem,51.9833,5.9167,NL,164096.0,False
