name_city,lat_city,lng_city
Vienna,48.2083,16.3725
Brussels,50.8467,4.3525
Antwerp,51.2178,4.4003
Sofia,42.7,23.33
Prague,50.0875,14.4214
Berlin,52.52,13.405
Stuttgart,48.7775,9.18
Munich,48.1375,11.575
Hamburg,53.55,10.0
Cologne,50.9364,6.9528
Frankfurt,50.1106,8.6822
Düsseldorf,51.2333,6.7833
Leipzig,51.34,12.375
Dortmund,51.5139,7.4653
Essen,51.4508,7.0131
Bremen,53.0758,8.8072
Dresden,51.05,13.74
Hannover,52.3667,9.7167
Nuremberg,49.4539,11.0775
Duisburg,51.4347,6.7625
Copenhagen,55.6761,12.5683
Tallinn,59.4372,24.7453
Madrid,40.4169,-3.7033
Barcelona,41.3828,2.1769
Valencia,39.47,-0.3764
Sevilla,37.39,-5.99
Málaga,36.7194,-4.42
Zaragoza,41.65,-0.8833
Helsinki,60.1708,24.9375
Paris,48.8567,2.3522
Bordeaux,44.84,-0.58
Marseille,43.2964,5.37
Lyon,45.76,4.84
Toulouse,43.6045,1.444
Athens,37.9842,23.7281
Zagreb,45.8131,15.9775
Budapest,47.4925,19.0514
Rome,41.8933,12.4828
Milan,45.4669,9.19
Naples,40.8333,14.25
Turin,45.0792,7.6761
Genoa,44.4111,8.9328
Vilnius,54.6872,25.28
Luxembourg,49.6117,6.1319
Riga,56.9489,24.1064
Tilburg,51.55,5.0833
Amsterdam,52.3728,4.8936
Rotterdam,51.92,4.48
The Hague,52.08,4.31
Warsaw,52.23,21.0111
Kraków,50.0614,19.9372
Wrocław,51.11,17.0325
Łódź,51.7769,19.4547
Poznań,52.4083,16.9336
Lisbon,38.7253,-9.15
Bucharest,44.4325,26.1039
Stockholm,59.3294,18.0686
Gothenburg,57.7075,11.9675
Ljubljana,46.0514,14.5061
Bratislava,48.1439,17.1097
