name_station,lat_station,lng_station,name_city,lat_city,lng_city,distance_city_center_to_train_station,transit_time_mins
Wien Hbf,48.184923,16.375864,Vienna,48.2083,16.3725,2.6113349599547395,31.336019519456876
Bruxelles Midi,50.835374,4.335695,Brussels,50.8467,4.3525,1.725819656923182,20.709835883078185
Antwerpen Centraal,51.215527,4.421005,Antwerp,51.2178,4.4003,1.4640832903667353,17.568999484400823
Praha hl.n.,50.083058,14.436037,Prague,50.0875,14.4214,1.1552342252696735,13.862810703236082
Berlin Hbf,52.525589,13.369548,Berlin,52.52,13.405,2.477747614804733,29.732971377656796
Stuttgart Hbf,48.784081,9.181636,Stuttgart,48.7775,9.18,0.7415268325056936,8.898321990068323
München Hbf,48.140228,11.558338,Munich,48.1375,11.575,1.2730454412184573,15.276545294621487
Hamburg Hbf,53.552732,10.006908,Hamburg,53.55,10.0,0.5482157774823816,6.57858932978858
Köln Messe/Deutz,50.940871,6.975,Cologne,50.9364,6.9528,1.6330619367371442,19.59674324084573
Frankfurt(Main)Hbf,50.107149,8.663785,Frankfurt,50.1106,8.6822,1.3681405841920045,16.417687010304054
Düsseldorf Hbf,51.21996,6.794316,Düsseldorf,51.2333,6.7833,1.6699513729807343,20.03941647576881
Leipzig Hbf,51.346546,12.383333,Leipzig,51.34,12.375,0.9299551258272452,11.159461509926942
Dortmund Hbf,51.517898,7.459293,Dortmund,51.5139,7.4653,0.6086101748757213,7.303322098508656
Essen Hbf,51.451351,7.014795,Essen,51.4508,7.0131,0.1324741538047752,1.5896898456573023
Bremen Hbf,53.083477,8.813833,Bremen,53.0758,8.8072,0.9617708549254602,11.541250259105523
Dresden Hbf,51.040562,13.732038,Dresden,51.05,13.74,1.1879316260669406,14.255179512803288
Hannover Hbf,52.376763,9.741016,Hannover,52.3667,9.7167,1.9942726734732945,23.931272081679534
Nürnberg Hbf,49.445615,11.082989,Nuremberg,49.4539,11.0775,1.003069873750268,12.036838485003214
Duisburg Hbf,51.429786,6.775906,Duisburg,51.4347,6.7625,1.0780791798555411,12.936950158266495
Koebenhavns Lufthavn st,55.672721,12.564618,Copenhagen,55.6761,12.5683,0.44098990409740596,5.291878849168871
Barcelona Sants,41.378911,2.140367,Barcelona,41.3828,2.1769,3.0785845294719594,36.943014353663514
Paris Gare de Lyon,48.844888,2.37352,Paris,48.8567,2.3522,2.0392588590578185,24.47110630869382
Bordeaux-St-Jean,44.825873,-0.556697,Bordeaux,44.84,-0.58,2.417487127746609,29.009845532959304
Marseille-St-Charles,43.302666,5.380407,Marseille,43.2964,5.37,1.0930414292385322,13.116497150862386
Lyon Part Dieu,45.760416,4.862114,Lyon,45.76,4.84,1.7161517211615487,20.593820653938586
Toulouse-Matabiau,43.611206,1.453616,Toulouse,43.6045,1.444,1.0749163125811707,12.898995750974048
Zagreb Glavni kolodvor,45.804438,15.978705,Zagreb,45.8131,15.9775,0.967688265986022,11.612259191832264
Budapest-Nyugati,47.510705,19.057464,Budapest,47.4925,19.0514,2.0749241409018344,24.899089690822013
Roma Tiburtina,41.911072,12.531457,Rome,41.8933,12.4828,4.485651264965697,53.82781517958836
Milano Porta Garibaldi,45.484437,9.187299,Milan,45.4669,9.19,1.9613647418659013,23.536376902390817
Torino Porta Susa,45.071832,7.665164,Turin,45.0792,7.6761,1.18686114308393,14.24233371700716
Genova Piazza Principe,44.417507,8.922072,Genoa,44.4111,8.9328,1.1106756152260517,13.328107382712622
Luxembourg,49.599717,6.134391,Luxembourg,49.6117,6.1319,1.3444849889798156,16.133819867757786
Tilburg,51.560938,5.081116,Tilburg,51.55,5.0833,1.2255869378219149,14.70704325386298
Amsterdam Centraal,52.37919,4.899426,Amsterdam,52.3728,4.8936,0.813182290228479,9.758187482741748
Rotterdam Centraal,51.925068,4.468839,Rotterdam,51.92,4.48,0.9504675585939223,11.405610703127069
Warszawa Centralna,52.232855,20.921112,Warsaw,52.23,21.0111,6.136754824942238,73.64105789930686
Krakow Glowny,50.067192,19.947423,Kraków,50.0614,19.9372,0.9732744789111628,11.679293746933952
Wroclaw Glowny,51.098075,17.037084,Wrocław,51.11,17.0325,1.3640785933441177,16.368943120129412
Poznan Glowny,52.401996,16.910866,Poznań,52.4083,16.9336,1.694040283715097,20.328483404581164
Stockholm Central,59.330009,18.057629,Stockholm,59.3294,18.0686,0.6259511349804427,7.511413619765314
Ljubljana,46.058686,14.51294,Ljubljana,46.0514,14.5061,0.9669310432895416,11.6031725194745
Bratislava hl.st.,48.158908,17.106463,Bratislava,48.1439,17.1097,1.6860025339740687,20.232030407688825
