origin_city,destination_city,air_origin_airport,air_destination_airport,air_distance_km,air_flight_duration_min,air_total_travel_time_min,air_overhead_min,origin_city_lat,origin_city_lng,destination_city_lat,destination_city_lng,rail_origin_station_name,rail_destination_station_name,rail_travel_time_mins,rail_uses_hsr,rail_origin_transit_time_mins,rail_destination_transit_time_mins,rail_total_travel_time_min,best_time_min
Amsterdam,Antwerp,,,,,,,,,,,Amsterdam Centraal,Antwerpen Centraal,80.0,False,1.9520337879727412,3.5284359653773953,95.48046975335014,95.48046975335014
Amsterdam,Athens,AMS,ATH,2184.0,195.0,361.81,166.81,52.3728,4.8936,37.9842,23.7281,,,,,,,,361.81
Amsterdam,Barcelona,AMS,BCN,1240.0,135.0,290.36,155.36,52.3728,4.8936,41.3828,2.1769,Amsterdam Centraal,Barcelona Sants,673.0,False,1.9520337879727412,7.388093774297752,692.3401275622705,290.36
Amsterdam,Berlin,AMS,BER,595.0,80.0,244.46,164.46,52.3728,4.8936,52.52,13.405,Amsterdam Centraal,Berlin Hbf,342.0,False,1.9520337879727412,5.947266480604848,359.89930026857763,244.46
Amsterdam,Bordeaux,AMS,BOD,923.0,100.0,251.53,151.53,52.3728,4.8936,44.84,-0.58,Amsterdam Centraal,Bordeaux-St-Jean,418.0,True,1.9520337879727412,5.811588377462907,435.76362216543566,251.53
Amsterdam,Bratislava,,,,,,,,,,,Amsterdam Centraal,Bratislava hl.st.,761.0,False,1.9520337879727412,4.046858342350235,776.9988921303229,776.9988921303229
Amsterdam,Bremen,AMS,BRE,284.0,55.0,196.39,141.39,52.3728,4.8936,53.0758,8.8072,Amsterdam Centraal,Bremen Hbf,254.0,False,1.9520337879727412,2.309271364404068,268.26130515237685,196.39
Amsterdam,Brussels,AMS,BRU,158.0,45.0,198.17,153.17,52.3728,4.8936,50.8467,4.3525,Amsterdam Centraal,Bruxelles Midi,116.0,False,1.9520337879727412,4.14169289941754,132.09372668739027,132.09372668739027
Amsterdam,Bucharest,AMS,OTP,1786.0,165.0,325.35,160.35000000000002,52.3728,4.8936,44.4325,26.1039,,,,,,,,325.35
Amsterdam,Budapest,AMS,BUD,1171.0,115.0,277.7,162.7,52.3728,4.8936,47.4925,19.0514,Amsterdam Centraal,Budapest-Nyugati,1031.0,False,1.9520337879727412,4.980157462200125,1047.932191250173,277.7
Amsterdam,Copenhagen,AMS,CPH,635.0,80.0,227.83,147.83,52.3728,4.8936,55.6761,12.5683,Amsterdam Centraal,Koebenhavns Lufthavn st,683.0,False,1.9520337879727412,17.4069941581493,712.359027946122,227.83
Amsterdam,Dortmund,,,,,,,,,,,Amsterdam Centraal,Dortmund Hbf,175.0,False,1.9520337879727412,1.460615015563283,188.41264880353603,188.41264880353603
Amsterdam,Dresden,,,,,,,,,,,Amsterdam Centraal,Dresden Hbf,507.0,False,1.9520337879727412,2.8510360388781235,521.8030698268508,521.8030698268508
Amsterdam,Duisburg,,,,,,,,,,,Amsterdam Centraal,Duisburg Hbf,128.0,False,1.9520337879727412,2.5870950877797454,142.53912887575248,142.53912887575248
