departure_city_name,departure_airport_code,arrival_city_name,arrival_airport_code,distance_km,flight_duration_minutes,total_travel_time_mins
malaga,AGP,barcelona,BCN,766,95,245.23
malaga,AGP,amsterdam,AMS,1883,185,333.88
malaga,AGP,madrid,MAD,431,75,228.33
malaga,AGP,brussels,BRU,1734,175,323.04
malaga,AGP,stockholm,ARN,3018,255,441.59
malaga,AGP,copenhagen,CPH,2473,220,362.71
malaga,AGP,paris,ORY,1450,155,308.31
malaga,AGP,rome,FCO,1549,155,320.12
malaga,AGP,paris,CDG,1484,158,323.81
malaga,AGP,frankfurt,FRA,1818,180,327.39
malaga,AGP,helsinki,HEL,3356,275,431.54
malaga,AGP,milan,MXP,1485,150,343.76
malaga,AGP,tilburg,EIN,1819,175,342.4
malaga,AGP,valencia,VLC,470,70,214.89
malaga,AGP,vienna,VIE,2137,190,347.77
malaga,AGP,dusseldorf,DUS,1852,175,314.61
malaga,AGP,lisbon,LIS,470,80,219.86
malaga,AGP,berlin,BER,2242,210,369.34
malaga,AGP,gothenburg,GOT,2641,230,391.85
malaga,AGP,munich,MUC,1856,175,350.04
malaga,AGP,prague,PRG,2118,195,343.73
malaga,AGP,rotterdam,RTM,1837,170,308.67
malaga,AGP,cologne,CGN,1829,180,332.16
malaga,AGP,hamburg,HAM,2192,205,350.45
malaga,AGP,brussels,CRL,1690,165,362.39
malaga,AGP,milan,BGY,1549,155,354.88
malaga,AGP,marseille,MRS,1117,120,282.03
malaga,AGP,dusseldorf,NRN,1859,175,396.68
malaga,AGP,budapest,BUD,2286,205,362.57
malaga,AGP,luxembourg,LUX,1678,160,300.87
malaga,AGP,lyon,LYS,1284,135,295.58
malaga,AGP,athens,ATH,2515,205,366.68
malaga,AGP,sofia,SOF,2472,215,357.41
malaga,AGP,antwerp,ANR,1762,200,338.99
malaga,AGP,bordeaux,BOD,960,115,261.4
malaga,AGP,krakow,KRK,2448,220,367.41
malaga,AGP,bucharest,OTP,2712,240,395.22
malaga,AGP,riga,RIX,3085,265,409.24
malaga,AGP,stuttgart,STR,1737,180,326.43
malaga,AGP,warsaw,WAW,2635,230,372.46
malaga,AGP,dortmund,DTM,1906,180,327.22
malaga,AGP,hannover,HAJ,2076,200,347.48
malaga,AGP,paris,BVA,1517,150,385.81
malaga,AGP,zagreb,ZAG,1987,185,333.4
malaga,AGP,bucharest,BBU,2711,240,382.8
malaga,AGP,naples,NAP,1693,160,302.13
malaga,AGP,tallinn,TLL,3287,270,407.56
malaga,AGP,nuremberg,NUE,1898,175,313.59
malaga,AGP,toulouse,TLS,919,110,251.31
malaga,AGP,vilnius,VNO,3020,255,394.24
malaga,AGP,bremen,BRE,2093,193,329.27
malaga,AGP,stockholm,NYO,2907,245,510.75
malaga,AGP,poznan,POZ,2416,230,372.58
malaga,AGP,turin,TRN,1389,150,301.0
malaga,AGP,stockholm,VST,2964,250,511.23
amsterdam,AMS,copenhagen,CPH,635,80,227.83
amsterdam,AMS,barcelona,BCN,1240,135,290.36
amsterdam,AMS,frankfurt,FRA,366,70,222.51
amsterdam,AMS,paris,CDG,399,80,250.93
amsterdam,AMS,munich,MUC,665,85,265.17
amsterdam,AMS,lisbon,LIS,1848,185,329.99
amsterdam,AMS,madrid,MAD,1459,160,318.45
amsterdam,AMS,berlin,BER,595,80,244.46
amsterdam,AMS,stockholm,ARN,1155,120,311.71
amsterdam,AMS,vienna,VIE,960,110,272.89
amsterdam,AMS,malaga,AGP,1883,185,333.88
