id,name_norm,uic,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport,geo_imputed
1,Chateau-Arnoux - St-Auban,,44.08179,6.001625,,FR,Europe/Paris,True,False,False,False
2,Chateau-Arnoux - St-Auban,8775123,44.061565,5.997373,1.0,FR,Europe/Paris,False,True,False,False
3,Chateau-Arnoux Mairie,8775122,44.063863,6.011248,1.0,FR,Europe/Paris,False,False,False,False
4,Digne-les-Bains,,44.35,6.35,,FR,Europe/Paris,True,False,False,False
6,Digne-les-Bains,8775149,44.08871,6.222982,4.0,FR,Europe/Paris,False,True,False,False
7,La Crau,8775561,43.144935,6.068766,,FR,Europe/Paris,False,False,False,False
8,Aire-sur-l'Adour,8767104,43.703854,-0.258269,,FR,Europe/Paris,True,False,False,False
9,Cagnes-sur-Mer,8775632,43.65813,7.14864,5768.0,FR,Europe/Paris,False,True,False,False
10,Menton,,43.776486,7.504349,,FR,Europe/Paris,True,False,False,False
11,Menton,8775648,43.774444,7.4933,10.0,FR,Europe/Paris,False,True,False,False
12,Menton - Garavan,8775649,43.785202,7.517297,10.0,FR,Europe/Paris,False,False,False,False
16,Vievola,,47.290116499999996,2.543103,,FR,Europe/Paris,True,False,False,True
18,Vievola,8775689,44.112556,7.562798,16.0,FR,Europe/Paris,False,True,False,False
19,Mandelieu-la-Napoule,8775759,43.523903,6.941313,,FR,Europe/Paris,False,False,False,False
23,Decazeville,,44.55,2.25,,FR,Europe/Paris,True,False,False,False
24,Decazeville Centre,8761367,44.561434,2.255896,23.0,FR,Europe/Paris,False,True,False,False
25,Viviez - Decazeville,8761366,44.555568,2.218258,23.0,FR,Europe/Paris,False,False,False,False
26,Decazeville Fontvergne,8761369,44.555635,2.263741,23.0,FR,Europe/Paris,False,False,False,False
27,St-Sever Calvados,,48.833333,-1.033333,29.0,FR,Europe/Paris,False,False,False,False
28,St-Sever Centre,8741929,48.839517,-1.049283,29.0,FR,Europe/Paris,False,False,False,False
29,St-Sever Calvados,8744771,48.843608,-1.051698,,FR,Europe/Paris,False,True,False,False
30,Vire,,48.83897,-0.88928,,FR,Europe/Paris,True,False,False,False
31,Vire Centre,8744816,48.837638,-0.880538,30.0,FR,Europe/Paris,False,False,False,False
32,Vire,8744815,48.846329,-0.882884,30.0,FR,Europe/Paris,False,True,False,False
33,Marans,,46.3,-1.0,,FR,Europe/Paris,True,False,False,False
34,Marans Centre,8738988,46.290815,-0.979212,33.0,FR,Europe/Paris,False,False,False,False
35,Marans,8748506,46.30433,-1.00127,33.0,FR,Europe/Paris,False,True,False,False
36,Uzerche,8759420,45.440709,1.570274,5607.0,FR,Europe/Paris,False,True,False,False
38,Dijon Ville,8771304,47.32337,5.027208,1782.0,FR,Europe/Paris,False,True,False,False
40,Pontrieux,,48.7,-3.166667,,FR,Europe/Paris,True,False,False,False
41,Pontrieux Halte,8747383,48.698036,-3.164496,40.0,FR,Europe/Paris,False,False,False,False
42,Pontrieux,8747384,48.705644,-3.157428,40.0,FR,Europe/Paris,False,True,False,False
43,Auboue,8719168,49.216163,5.971461,,FR,Europe/Paris,False,False,False,False
44,Perigueux,8759500,45.187408,0.707879,4957.0,FR,Europe/Paris,True,False,False,False
45,Besancon Viotte,8771800,47.247019,6.022003,5029.0,FR,Europe/Paris,False,True,False,False
47,Douarnenez Office de Tourisme,8747990,48.093363,-4.330373,,FR,Europe/Paris,False,False,False,False
50,Concarneau,,47.866667,-3.916667,,FR,Europe/Paris,True,False,False,False
51,Concarneau Port,8747989,47.867055,-3.927593,50.0,FR,Europe/Paris,False,False,False,False
52,Concarneau,8747438,47.877671,-3.920531,50.0,FR,Europe/Paris,False,False,False,False
55,Aboncourt,8719140,49.266667,6.35,,FR,Europe/Paris,False,False,False,False
56,Aiton - Bourgneuf,8774124,45.566667,6.25,,FR,Europe/Paris,False,False,False,False
57,Colomiers,,43.616667,1.35,,FR,Europe/Paris,True,False,False,False
58,Colomiers,8761146,43.603734,1.334221,57.0,FR,Europe/Paris,False,True,False,False
59,Colomiers Lycee International,8761192,43.616306,1.314116,57.0,FR,Europe/Paris,False,False,False,False
60,Labege,,43.533333,1.533333,,FR,Europe/Paris,True,False,False,False
61,Labege Innopole,8761200,43.547361,1.512978,60.0,FR,Europe/Paris,False,True,False,False
62,Labege Village,8761202,43.530537,1.532921,60.0,FR,Europe/Paris,False,False,False,False
63,Azay-le-Rideau Mairie,8711029,47.266667,0.466667,5083.0,FR,Europe/Paris,False,False,False,False
64,Albas,8761375,44.466667,1.233333,9007.0,FR,Europe/Paris,False,True,False,False
65,Abancourt,8731375,49.685224,1.774306,,FR,Europe/Paris,False,False,False,False
66,Lunel,,43.683333,4.133333,,FR,Europe/Paris,True,False,False,False
67,Lunel-Viel,8777342,43.681173,4.09374,66.0,FR,Europe/Paris,False,False,False,False
68,Lunel,8777340,43.679392,4.131086,66.0,FR,Europe/Paris,False,True,False,False
72,Moirans,8774732,45.322185,5.581915,4774.0,FR,Europe/Paris,False,True,False,False
73,Arc-et-Senans,8771884,47.030352,5.776784,,FR,Europe/Paris,False,False,False,False
74,Accolay,8768365,47.666667,3.716667,,FR,Europe/Paris,False,False,False,False
76,Dole Ville,8771341,47.096084,5.488105,1845.0,FR,Europe/Paris,False,True,False,False
77,Dax,8767320,43.720472,-1.050301,5776.0,FR,Europe/Paris,True,False,False,False
80,Reze,,47.2,-1.566667,,FR,Europe/Paris,True,False,False,False
82,Reze - Pont-Rousseau,8748103,47.193243,-1.549545,80.0,FR,Europe/Paris,False,True,False,False
83,Cherbourg,8744487,49.633505,-1.621515,,FR,Europe/Paris,False,False,False,False
84,Angers St-Laud,8748400,47.464647,-0.55682,344.0,FR,Europe/Paris,False,True,False,False
85,Saumur,8748760,47.269,-0.07136,5831.0,FR,Europe/Paris,False,True,False,False
87,Cerences Centre,8738819,48.91686,-1.437824,9462.0,FR,Europe/Paris,False,False,False,False
89,Reims,8724856,49.25,4.033333,,FR,Europe/Paris,True,False,False,False
90,Reims Maison Blanche,8717127,49.233685,4.022493,89.0,FR,Europe/Paris,False,False,False,False
91,Champagne-Ardenne TGV,8717192,49.214806,3.994632,89.0,FR,Europe/Paris,False,False,False,False
92,Reims Ville,8717100,49.258978,4.024435,89.0,FR,Europe/Paris,False,True,False,False
93,Laval,8747840,48.076206,-0.760907,4714.0,FR,Europe/Paris,True,False,False,False
94,Accous,8767278,42.983333,-0.6,,FR,Europe/Paris,False,False,False,False
95,Achiet,8734204,50.131753,2.780168,,FR,Europe/Paris,False,False,False,False
96,Louverne,,48.133333,-0.7,,FR,Europe/Paris,True,False,False,False
97,Louverne,8747851,48.108856,-0.714411,96.0,FR,Europe/Paris,False,True,False,False
98,Louverne Centre,8747991,48.123054,-0.719905,96.0,FR,Europe/Paris,False,False,False,False
99,Mayenne,,48.3,-0.616667,,FR,Europe/Paris,True,False,False,False
100,Mayenne,8747859,48.306455,-0.620588,99.0,FR,Europe/Paris,False,True,False,False
101,Mayenne Centre,8747860,48.299504,-0.61134,99.0,FR,Europe/Paris,False,False,False,False
104,Arnage,,47.933333,0.183333,,FR,Europe/Paris,True,False,False,False
105,Arnage,8739654,47.928566,0.189883,104.0,FR,Europe/Paris,False,True,False,False
106,Arnage Centre,8736033,47.937288,0.163801,104.0,FR,Europe/Paris,False,False,False,False
107,Carnac,,47.583333,-3.083333,,FR,Europe/Paris,True,False,False,False
108,Plouharnel - Carnac,8747641,47.604294,-3.118448,107.0,FR,Europe/Paris,False,False,False,False
109,Les Sables-Blancs,8747626,47.575598,-3.132447,107.0,FR,Europe/Paris,False,False,False,False
110,Carnac,8728967,47.584559,-3.082609,107.0,FR,Europe/Paris,False,True,False,False
111,St-Pierre-Quiberon,,47.516667,-3.133333,,FR,Europe/Paris,True,False,False,False
112,L'Isthme,8747627,47.546505,-3.133699,111.0,FR,Europe/Paris,False,False,False,False
113,St-Pierre-Quiberon,8747644,47.521057,-3.138905,111.0,FR,Europe/Paris,False,True,False,False
114,Metz,8719203,49.109545,6.176593,4827.0,FR,Europe/Paris,False,True,False,False
115,Forbach,,49.183333,6.9,,FR,Europe/Paris,True,False,False,False
117,Forbach,8719300,49.189228,6.901318,115.0,FR,Europe/Paris,False,True,False,False
