city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Vienna,48.2083,16.3725,Austria,AT,Wien,primary,2223236.0,1973403.0
Graz,47.0708,15.4386,Austria,AT,Steiermark,admin,292630.0,292630.0
Linz,48.3058,14.2864,Austria,AT,Oberösterreich,admin,210165.0,210165.0
Lochau,47.5167,9.75,Austria,AT,Vorarlberg,,200000.0,5747.0
Salzburg,47.8,13.045,Austria,AT,Salzburg,admin,155021.0,155021.0
Innsbruck,47.2683,11.3933,Austria,AT,Tirol,admin,130585.0,130585.0
Klagenfurt,46.6167,14.3,Austria,AT,Kärnten,admin,101403.0,101403.0
Villach,46.6167,13.85,Austria,AT,Kärnten,minor,65127.0,65127.0
Wels,48.15,14.0167,Austria,AT,Oberösterreich,minor,61233.0,61233.0
Sankt Pölten,48.2,15.6167,Austria,AT,Niederösterreich,admin,55514.0,55514.0
Krems an der Donau,48.4167,15.6167,Austria,AT,Niederösterreich,minor,50000.0,25272.0
Dornbirn,47.4139,9.7444,Austria,AT,Vorarlberg,minor,48067.0,48067.0
Wiener Neustadt,47.8167,16.25,Austria,AT,Niederösterreich,minor,44461.0,44461.0
Steyr,48.0333,14.4167,Austria,AT,Oberösterreich,minor,38331.0,38331.0
Bregenz,47.505,9.7492,Austria,AT,Vorarlberg,admin,29620.0,29620.0
Leonding,48.2667,14.25,Austria,AT,Oberösterreich,,28698.0,28698.0
Klosterneuburg,48.3042,16.3167,Austria,AT,Niederösterreich,minor,27058.0,27058.0
Baden,48.0075,16.2344,Austria,AT,Niederösterreich,minor,26286.0,26286.0
Traun,48.2217,14.2397,Austria,AT,Oberösterreich,,24477.0,24477.0
Lustenau,47.4297,9.6597,Austria,AT,Vorarlberg,,23579.0,23579.0
Amstetten,48.1167,14.8667,Austria,AT,Niederösterreich,minor,23569.0,23569.0
Kapfenberg,47.4333,15.2833,Austria,AT,Steiermark,,22798.0,22798.0
Hallein,47.6831,13.0969,Austria,AT,Salzburg,minor,21150.0,21150.0
Mödling,48.0833,16.2667,Austria,AT,Niederösterreich,minor,20555.0,20555.0
Kufstein,47.5833,12.1667,Austria,AT,Tirol,minor,19126.0,19126.0
Traiskirchen,48.0167,16.3,Austria,AT,Niederösterreich,,18858.0,18858.0
Schwechat,48.1411,16.4786,Austria,AT,Niederösterreich,,18026.0,18026.0
Hohenems,47.3667,9.6667,Austria,AT,Vorarlberg,,16946.0,16946.0
Stockerau,48.3833,16.2167,Austria,AT,Niederösterreich,,16916.0,16916.0
Ansfelden,48.2083,14.2889,Austria,AT,Oberösterreich,,16194.0,16194.0
Telfs,47.2833,11.0667,Austria,AT,Tirol,,16046.0,16046.0
Bruck an der Mur,47.4167,15.2667,Austria,AT,Steiermark,minor,15837.0,15837.0
Spittal an der Drau,46.7833,13.4833,Austria,AT,Kärnten,minor,15413.0,15413.0
Perchtoldsdorf,48.1167,16.2667,Austria,AT,Niederösterreich,,15047.0,15047.0
Bludenz,47.1333,9.8167,Austria,AT,Vorarlberg,minor,14956.0,14956.0
Eisenstadt,47.85,16.5167,Austria,AT,Burgenland,admin,14476.0,14476.0
Hall in Tirol,47.2833,11.5,Austria,AT,Tirol,,13897.0,13897.0
Wörgl,47.4833,12.0667,Austria,AT,Tirol,,13811.0,13811.0
Schwaz,47.35,11.7,Austria,AT,Tirol,minor,13810.0,13810.0
Marchtrenk,48.1917,14.1106,Austria,AT,Oberösterreich,,13603.0,13603.0
Hard,47.4667,9.6667,Austria,AT,Vorarlberg,,13495.0,13495.0
Leibnitz,46.7831,15.545,Austria,AT,Steiermark,minor,13014.0,13014.0
Korneuburg,48.3453,16.3331,Austria,AT,Niederösterreich,minor,12986.0,12986.0
Neunkirchen,47.7333,16.0833,Austria,AT,Niederösterreich,minor,12879.0,12879.0
Knittelfeld,47.215,14.8294,Austria,AT,Steiermark,,12626.0,12626.0
Vöcklabruck,48.0086,13.6558,Austria,AT,Oberösterreich,minor,12299.0,12299.0
Enns,48.2167,14.475,Austria,AT,Oberösterreich,,11937.0,11937.0
Lienz,46.8297,12.7697,Austria,AT,Tirol,minor,11935.0,11935.0
Brunn am Gebirge,48.1,16.2833,Austria,AT,Niederösterreich,,11864.0,11864.0
Rankweil,47.2667,9.65,Austria,AT,Vorarlberg,,11855.0,11855.0
Bad Vöslau,47.9667,16.2167,Austria,AT,Niederösterreich,,11844.0,11844.0
Weiz,47.2169,15.6331,Austria,AT,Steiermark,minor,11627.0,11627.0
Götzis,47.3331,9.6333,Austria,AT,Vorarlberg,,11473.0,11473.0
Gänserndorf,48.3406,16.7175,Austria,AT,Niederösterreich,minor,11404.0,11404.0
Gerasdorf bei Wien,48.295,16.4675,Austria,AT,Niederösterreich,,11155.0,11155.0
Gleisdorf,47.1039,15.7083,Austria,AT,Steiermark,,10763.0,10763.0
Lauterach,47.4772,9.7314,Austria,AT,Vorarlberg,,10028.0,10028.0
Strasshof an der Nordbahn,48.3194,16.6475,Austria,AT,Niederösterreich,,10009.0,10009.0
Köflach,47.0667,15.0833,Austria,AT,Steiermark,,9888.0,9888.0
Laakirchen,47.9828,13.8242,Austria,AT,Oberösterreich,,9861.0,9861.0
Purkersdorf,48.2092,16.1792,Austria,AT,Niederösterreich,,9701.0,9701.0
Wiener Neudorf,48.0833,16.3167,Austria,AT,Niederösterreich,,9433.0,9433.0
