origin_id,destination_id,origin_name,destination_name,min_duration_minutes,transfers,trains,check_date
8103000,8000261,Wien Hbf,München Hbf,253,2,,2026-01-06
8103000,8002549,Wien Hbf,Hamburg Hbf,524,2,,2026-01-06
8103000,8003368,Wien Hbf,Köln Messe/Deutz Gl.11-12,481,2,,2026-01-06
8103000,8000105,Wien Hbf,Frankfurt(Main)Hbf,384,0,,2026-01-06
8103000,8000085,Wien Hbf,Düsseldorf Hbf,499,2,,2026-01-06
8103000,8010205,Wien Hbf,Leipzig Hbf,378,4,,2026-01-06
8103000,8000080,Wien Hbf,Dortmund Hbf,546,4,,2026-01-06
8103000,8000098,Wien Hbf,Essen Hbf,525,2,,2026-01-06
8103000,8000050,Wien Hbf,Bremen Hbf,514,4,,2026-01-06
8103000,8010085,Wien Hbf,Dresden Hbf,400,4,,2026-01-06
8103000,8000152,Wien Hbf,Hannover Hbf,439,2,,2026-01-06
8103000,8000284,Wien Hbf,Nürnberg Hbf,252,0,,2026-01-06
8103000,8000086,Wien Hbf,Duisburg Hbf,512,2,,2026-01-06
8103000,8601242,Wien Hbf,Koebenhavns Lufthavn st,910,4,,2026-01-06
8103000,7100064,Wien Hbf,Barcelona Sants,1195,8,,2026-01-06
8103000,8700012,Wien Hbf,Paris Lyon Banlieue,714,6,,2026-01-06
8103000,8700047,Wien Hbf,Bordeaux-St-Jean,1246,6,,2026-01-06
8103000,8700074,Wien Hbf,Marseille-St-Charles,1236,8,,2026-01-06
8103000,8700152,Wien Hbf,Lyon Part Dieu,991,8,,2026-01-06
8103000,8700065,Wien Hbf,Toulouse-Matabiau,1160,8,,2026-01-06
8103000,7800020,Wien Hbf,Zagreb Glavni kolodvor,421,6,,2026-01-06
8103000,5500728,Wien Hbf,Budapest-Nyugati,187,1,,2026-01-06
8103000,8300262,Wien Hbf,Roma Tiburtina,691,6,,2026-01-06
8103000,8300047,Wien Hbf,Milano Porta Garibaldi Passante,602,4,,2026-01-06
8103000,8300522,Wien Hbf,Torino Porta Susa,676,6,,2026-01-06
8103000,8300153,Wien Hbf,Genova Piazza Principe,732,6,,2026-01-06
8103000,8200100,Wien Hbf,Luxembourg,637,6,,2026-01-06
8103000,8400597,Wien Hbf,Tilburg,652,8,,2026-01-06
8103000,8400058,Wien Hbf,Amsterdam Centraal,712,8,,2026-01-06
8103000,8400530,Wien Hbf,Rotterdam Centraal,691,8,,2026-01-06
8103000,5100065,Wien Hbf,Warszawa Centralna,474,2,,2026-01-06
8103000,5100028,Wien Hbf,Krakow Glowny,320,0,,2026-01-06
8103000,5100069,Wien Hbf,Wroclaw Glowny,316,0,,2026-01-06
8103000,5100081,Wien Hbf,Poznan Glowny,434,6,,2026-01-06
8103000,7400002,Wien Hbf,Stockholm Central,1303,4,,2026-01-06
8103000,7900003,Wien Hbf,Ljubljana,316,2,,2026-01-06
8103000,5600207,Wien Hbf,Bratislava hl.st.,56,0,,2026-01-06
8800004,8103000,Bruxelles Midi,Wien Hbf,622,2,,2026-01-06
8800004,8800007,Bruxelles Midi,Antwerpen Centraal,34,0,,2026-01-06
8800004,5400014,Bruxelles Midi,Praha hl.n.,656,8,,2026-01-06
8800004,8011160,Bruxelles Midi,Berlin Hbf,390,2,,2026-01-06
8800004,8000096,Bruxelles Midi,Stuttgart Hbf,248,2,,2026-01-06
8800004,8000261,Bruxelles Midi,München Hbf,375,2,,2026-01-06
8800004,8002549,Bruxelles Midi,Hamburg Hbf,349,2,,2026-01-06
8800004,8003368,Bruxelles Midi,Köln Messe/Deutz,119,2,,2026-01-06
8800004,8000105,Bruxelles Midi,Frankfurt(Main)Hbf,182,0,,2026-01-06
8800004,8000085,Bruxelles Midi,Düsseldorf Hbf,142,2,,2026-01-06
8800004,8010205,Bruxelles Midi,Leipzig Hbf,399,8,,2026-01-06
8800004,8000080,Bruxelles Midi,Dortmund Hbf,191,2,,2026-01-06
8800004,8000098,Bruxelles Midi,Essen Hbf,168,2,,2026-01-06
8800004,8000050,Bruxelles Midi,Bremen Hbf,325,2,,2026-01-06
8800004,8010085,Bruxelles Midi,Dresden Hbf,492,4,,2026-01-06
8800004,8000152,Bruxelles Midi,Hannover Hbf,294,2,,2026-01-06
8800004,8000284,Bruxelles Midi,Nürnberg Hbf,333,4,,2026-01-06
8800004,8000086,Bruxelles Midi,Duisburg Hbf,155,2,,2026-01-06
8800004,8601242,Bruxelles Midi,Koebenhavns Lufthavn st,723,6,,2026-01-06
8800004,7100064,Bruxelles Midi,Barcelona Sants,546,2,,2026-01-06
8800004,8700012,Bruxelles Midi,Paris Lyon Banlieue,114,4,,2026-01-06
8800004,8700047,Bruxelles Midi,Bordeaux-St-Jean,271,2,,2026-01-06
8103000,8800004,Wien Hbf,Bruxelles Midi,622,2,,2026-01-06
8103000,8800007,Wien Hbf,Antwerpen Centraal,653,4,,2026-01-06
8103000,8800004,,,-1,0,,2026-01-06
8103000,8800007,,,-1,0,,2026-01-06
8103000,5400014,Wien Hbf,Praha hl.n.,253,0,,2026-01-06
8103000,8011160,Wien Hbf,Berlin Hbf,429,2,,2026-01-06
8103000,8000096,Wien Hbf,Stuttgart Hbf,391,2,,2026-01-06
8800004,8700074,Bruxelles Midi,Marseille-St-Charles,341,2,,2026-01-06
