name_city,lat_city,lng_city,country,population,is_capital
Vienna,48.2083,16.3725,AT,1973403.0,True
Brussels,50.8467,4.3525,BE,1235192.0,True
Antwerp,51.2178,4.4003,BE,536079.0,False
Sofia,42.7,23.33,BG,1383435.0,True
Nicosia,35.1725,33.365,CY,330000.0,True
Prague,50.0875,14.4214,CZ,1357326.0,True
Berlin,52.52,13.405,DE,3755251.0,True
Stuttgart,48.7775,9.18,DE,632865.0,False
Munich,48.1375,11.575,DE,1512491.0,False
Hamburg,53.55,10.0,DE,1892122.0,False
Cologne,50.9364,6.9528,DE,1084831.0,False
Frankfurt,50.1106,8.6822,DE,773068.0,False
Düsseldorf,51.2333,6.7833,DE,629047.0,False
Leipzig,51.34,12.375,DE,616093.0,False
Dortmund,51.5139,7.4653,DE,593317.0,False
Essen,51.4508,7.0131,DE,584580.0,False
Bremen,53.0758,8.8072,DE,569396.0,False
Dresden,51.05,13.74,DE,563311.0,False
Hannover,52.3667,9.7167,DE,545045.0,False
Nuremberg,49.4539,11.0775,DE,523026.0,False
Duisburg,51.4347,6.7625,DE,502211.0,False
Copenhagen,55.6761,12.5683,DK,660842.0,True
Tallinn,59.4372,24.7453,EE,461346.0,True
Madrid,40.4169,-3.7033,ES,3266126.0,True
Barcelona,41.3828,2.1769,ES,1620343.0,False
Valencia,39.47,-0.3764,ES,807693.0,False
Sevilla,37.39,-5.99,ES,684025.0,False
Málaga,36.7194,-4.42,ES,586384.0,False
Zaragoza,41.65,-0.8833,ES,682513.0,False
Las Palmas,28.1258,-15.4353,ES,635000.0,False
Helsinki,60.1708,24.9375,FI,664921.0,True
Paris,48.8567,2.3522,FR,2148271.0,True
Bordeaux,44.84,-0.58,FR,994920.0,False
Marseille,43.2964,5.37,FR,873076.0,False
Lyon,45.76,4.84,FR,522250.0,False
Toulouse,43.6045,1.444,FR,504078.0,False
Athens,37.9842,23.7281,GR,643452.0,True
Zagreb,45.8131,15.9775,HR,767131.0,True
Budapest,47.4925,19.0514,HU,1671004.0,True
Dublin,53.35,-6.2603,IE,592713.0,True
Rome,41.8933,12.4828,IT,2748109.0,True
Milan,45.4669,9.19,IT,1354196.0,False
Naples,40.8333,14.25,IT,913462.0,False
Turin,45.0792,7.6761,IT,841600.0,False
Palermo,38.1111,13.3517,IT,630167.0,False
Genoa,44.4111,8.9328,IT,558745.0,False
Vilnius,54.6872,25.28,LT,581475.0,True
Luxembourg,49.6117,6.1319,LU,132780.0,True
Riga,56.9489,24.1064,LV,660187.0,True
Valletta,35.8983,14.5125,MT,6444.0,True
Tilburg,51.55,5.0833,NL,1944588.0,False
Amsterdam,52.3728,4.8936,NL,917923.0,True
Rotterdam,51.92,4.48,NL,664311.0,False
The Hague,52.08,4.31,NL,548320.0,True
Warsaw,52.23,21.0111,PL,1860281.0,True
Kraków,50.0614,19.9372,PL,804237.0,False
Wrocław,51.11,17.0325,PL,672929.0,False
Łódź,51.7769,19.4547,PL,670642.0,False
Poznań,52.4083,16.9336,PL,546859.0,False
Lisbon,38.7253,-9.15,PT,548703.0,True
Bucharest,44.4325,26.1039,RO,1716961.0,True
Stockholm,59.3294,18.0686,SE,984748.0,True
Gothenburg,57.7075,11.9675,SE,607882.0,False
Ljubljana,46.0514,14.5061,SI,284293.0,True
Bratislava,48.1439,17.1097,SK,475503.0,True
