from_city_name,from_airport_code,to_city_name,to_airport_code,distance_km,flight_duration_minutes,total_journey_time_mins
Malaga,AGP,Barcelona,BCN,766,95,245.23
Malaga,AGP,Amsterdam,AMS,1883,185,333.88
Malaga,AGP,Dublin,DUB,1866,185,329.87
Malaga,AGP,Madrid,MAD,431,75,228.33
Malaga,AGP,Brussels,BRU,1734,175,323.04
Malaga,AGP,Stockholm,ARN,3018,255,441.59
Malaga,AGP,Copenhagen,CPH,2473,220,362.71
Malaga,AGP,Paris,ORY,1450,155,308.31
Malaga,AGP,Rome,FCO,1549,155,320.12
Malaga,AGP,Paris,CDG,1484,158,323.81
Malaga,AGP,Frankfurt,FRA,1818,180,327.39
Malaga,AGP,Helsinki,HEL,3356,275,431.54
Malaga,AGP,Milan,MXP,1485,150,343.76
Malaga,AGP,Eindhoven,EIN,1819,175,342.4
Malaga,AGP,Valencia,VLC,470,70,214.89
Malaga,AGP,Vienna,VIE,2137,190,347.77
Malaga,AGP,Dusseldorf,DUS,1852,175,314.61
Malaga,AGP,Lisbon,LIS,470,80,219.86
Malaga,AGP,Berlin,BER,2242,210,369.34
Malaga,AGP,Las Palmas,LPA,1409,150,314.99
Malaga,AGP,Gothenburg,GOT,2641,230,391.85
Malaga,AGP,Munich,MUC,1856,175,350.04
Malaga,AGP,Prague,PRG,2118,195,343.73
Malaga,AGP,Rotterdam,RTM,1837,170,308.67
Malaga,AGP,Cologne,CGN,1829,180,332.16
Malaga,AGP,Hamburg,HAM,2192,205,350.45
Malaga,AGP,Brussels,CRL,1690,165,362.39
Malaga,AGP,Milan,BGY,1549,155,354.88
Malaga,AGP,Marseille,MRS,1117,120,282.03
Malaga,AGP,Dusseldorf,NRN,1859,175,396.68
Malaga,AGP,Budapest,BUD,2286,205,362.57
Malaga,AGP,Luxembourg,LUX,1678,160,300.87
Malaga,AGP,Lyon,LYS,1284,135,295.58
Malaga,AGP,Athens,ATH,2515,205,366.68
Malaga,AGP,Sofia,SOF,2472,215,357.41
Malaga,AGP,Antwerp,ANR,1762,200,338.99
Malaga,AGP,Bordeaux,BOD,960,115,261.4
Malaga,AGP,Krakow,KRK,2448,220,367.41
Malaga,AGP,Bucharest,OTP,2712,240,395.22
Malaga,AGP,Riga,RIX,3085,265,409.24
Malaga,AGP,Stuttgart,STR,1737,180,326.43
Malaga,AGP,Warsaw,WAW,2635,230,372.46
Malaga,AGP,Dortmund,DTM,1906,180,327.22
Malaga,AGP,Hanover,HAJ,2076,200,347.48
Malaga,AGP,Paris,BVA,1517,150,385.81
Malaga,AGP,Zagreb,ZAG,1987,185,333.4
Malaga,AGP,Bucharest,BBU,2711,240,382.8
Malaga,AGP,Naples,NAP,1693,160,302.13
Malaga,AGP,Tallinn,TLL,3287,270,407.56
Malaga,AGP,Nuremberg,NUE,1898,175,313.59
Malaga,AGP,Toulouse,TLS,919,110,251.31
Malaga,AGP,Vilnius,VNO,3020,255,394.24
Malaga,AGP,Bremen,BRE,2093,193,329.27
Malaga,AGP,Stockholm,NYO,2907,245,510.75
Malaga,AGP,Poznan,POZ,2416,230,372.58
Malaga,AGP,Turin,TRN,1389,150,301.0
Malaga,AGP,Stockholm,VST,2964,250,511.23
Amsterdam,AMS,Copenhagen,CPH,635,80,227.83
Amsterdam,AMS,Barcelona,BCN,1240,135,290.36
Amsterdam,AMS,Dublin,DUB,750,100,250.0
Amsterdam,AMS,Frankfurt,FRA,366,70,222.51
Amsterdam,AMS,Paris,CDG,399,80,250.93
